"","truth","adj_est_est","adj_est_var","eadj_est_est","eadj_est_var_rob","eadj_est_var_asm","omega_est","omega_var","beta_est","beta_var","n_n","n_r","n_p","n_r_pt","q_eff","n","p_A","p_B","num_beta","den_beta","den_omega","omega_TA","omega_TA_var","omega_TAstar","mu_TA","var_TA","mu_TB","var_TB","r_TA","r_TAprime","r_TAstar","omega","beta","big_T","est","var","sim","seed","n_sims","p","inc","window","shadow","itype","rho","tau","bigT","phi_tfrr","ext_FRR","last_point","pt","t_min","t_max","q","gamma","eta","nu","xi","mech2","exclude_pt_bigT"
"1",0.032,0.0145019379090378,7.226092746372e-05,0.0340822253619755,5.21978979385239e-05,5.21978979385239e-05,0.274948849594737,0.000311889416162582,0.0166666666666667,1.09259259259259e-05,3596,36,1404,56,0.512820512820513,5000,0.263532763532764,0.249287749287749,0,0,302.287837887832,0.216463120124826,0.00448958455990154,0.257043480005383,1.03344022700865,0.31870878317238,3.02367701077302,0.327477121154732,0.000210988994433244,0.000178744878081947,0.000223837045578454,0.274948849594737,0.0166666666666667,2,0.0340822253619755,5.21978979385239e-05,1,"100","2","0.29","0.032","101","194","constant","0","12","2","2","FALSE","FALSE","TRUE","0","4","0.5","0","0","0","0","FALSE","FALSE"
"2",0.032,0.0328258865319479,0.000124422382422258,0.0453708387228925,6.587789221436e-05,6.587789221436e-05,0.235916485795111,0.000248289762182081,0.016,1.0496e-05,3546,47,1454,66,0.49656121045392,5000,0.252407152682256,0.244154057771664,0,0,299.981195029308,0.183382801265569,0.00366757425695903,0.214981114762774,1.00075550665648,0.345672793764601,2.96386532782984,0.330388823302669,0.000161106921663257,0.000131239296555743,0.000168873152095841,0.235916485795111,0.016,2,0.0453708387228925,6.587789221436e-05,2,"100","2","0.29","0.032","101","194","constant","0","12","2","2","FALSE","FALSE","TRUE","0","4","0.5","0","0","0","0","FALSE","FALSE"
